"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14/OSC32_IN","I/O","",""
"9","PC15/OSC32_OUT","I/O","",""
"10","PF0","I/O","FMC_A0","A0"
"11","PF1","I/O","FMC_A1","A1"
"12","PF2","I/O","FMC_A2","A2"
"13","PF3","I/O","FMC_A3","A3"
"14","PF4","I/O","FMC_A4","A4"
"15","PF5","I/O","FMC_A5","A5"
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","",""
"19","PF7","I/O","SPI5_SCK","SPI5_SCK [L3GD20_SCL/SPC]"
"20","PF8","I/O","SPI5_MISO","SPI5_MISO [L3GD20_SDO]"
"21","PF9","I/O","SPI5_MOSI","SPI5_MOSI [L3GD20_SDA/SDI/SDO]"
"22","PF10","I/O","LTDC_DE","ENABLE [LCD-RGB_ENABLE]"
"23","PH0/OSC_IN","I/O","RCC_OSC_IN","PH0-OSC_IN"
"24","PH1/OSC_OUT","I/O","RCC_OSC_OUT","PH1-OSC_OUT"
"25","NRST","Reset","",""
"26","PC0","I/O","FMC_SDNWE","SDNWE"
"27","PC1","Output","GPIO_Output","NCS_MEMS_SPI [L3GD20_CS_I2C/SPI]"
"28","PC2","Output","GPIO_Output","CSX [LCD-RGB_CSX]"
"29","PC3","I/O","",""
"30","VDD","Power","",""
"31","VSSA","Power","",""
"32","VREF+","Power","",""
"33","VDDA","Power","",""
"34","PA0/WKUP","I/O","GPIO_EXTI0","B1 [Blue PushButton]"
"35","PA1","I/O","GPIO_EXTI1","MEMS_INT1 [L3GD20_INT1]"
"36","PA2","I/O","GPIO_EXTI2","MEMS_INT2 [L3GD20_INT2]"
"37","PA3","I/O","LTDC_B5","B5"
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","I/O","LTDC_VSYNC","VSYNC"
"41","PA5","I/O","",""
"42","PA6","I/O","LTDC_G2","G2"
"43","PA7","Output","GPIO_Output","ACP_RST"
"44","PC4","I/O","",""
"45","PC5","I/O","",""
"46","PB0","I/O","LTDC_R3","R3"
"47","PB1","I/O","LTDC_R6","R6"
"48","PB2/BOOT1","Input","GPIO_Input","BOOT1"
"49","PF11","I/O","FMC_SDNRAS","SDNRAS"
"50","PF12","I/O","FMC_A6","A6"
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","I/O","FMC_A7","A7"
"54","PF14","I/O","FMC_A8","A8"
"55","PF15","I/O","FMC_A9","A9"
"56","PG0","I/O","FMC_A10","A10"
"57","PG1","I/O","FMC_A11","A11"
"58","PE7","I/O","FMC_D4","D4"
"59","PE8","I/O","FMC_D5","D5"
"60","PE9","I/O","FMC_D6","D6"
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","I/O","FMC_D7","D7"
"64","PE11","I/O","FMC_D8","D8"
"65","PE12","I/O","FMC_D9","D9"
"66","PE13","I/O","FMC_D10","D10"
"67","PE14","I/O","FMC_D11","D11"
"68","PE15","I/O","FMC_D12","D12"
"69","PB10","I/O","LTDC_G4","G4"
"70","PB11","I/O","LTDC_G5","G5"
"71","VCAP_1","Power","",""
"72","VDD","Power","",""
"73","PB12","I/O","CAN2_RX",""
"74","PB13","I/O","CAN2_TX",""
"75","PB14","I/O","",""
"76","PB15","I/O","",""
"77","PD8","I/O","FMC_D13","D13"
"78","PD9","I/O","FMC_D14","D14"
"79","PD10","I/O","FMC_D15","D15"
"80","PD11","Input","GPIO_Input","TE [LCD-RGB_TE]"
"81","PD12","Output","GPIO_Output","RDX [LDC-RGB_RDX]"
"82","PD13","Output","GPIO_Output","WRX_DCX [LCD-RGB_WRX_DCX]"
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","I/O","FMC_D0","D0"
"86","PD15","I/O","FMC_D1","D1"
"87","PG2","I/O","",""
"88","PG3","I/O","",""
"89","PG4","I/O","FMC_BA0","BA0"
"90","PG5","I/O","FMC_BA1","BA1"
"91","PG6","I/O","LTDC_R7","R7"
"92","PG7","I/O","LTDC_CLK","DOTCLK [LCT-RGB_DOTCLK]"
"93","PG8","I/O","FMC_SDCLK","SDCLK"
"94","VSS","Power","",""
"95","VDD","Power","",""
"96","PC6","I/O","LTDC_HSYNC","HSYNC"
"97","PC7","I/O","LTDC_G6","G6"
"98","PC8","I/O","",""
"99","PC9","I/O","I2C3_SDA","I2C3_SDA [ACP/RF_SDA]"
"100","PA8","I/O","I2C3_SCL","I2C3_SCL [ACP/RF_SCL]"
"101","PA9","I/O","USART1_TX","STLINK_RX [STM32F103CBT6_PA3]"
"102","PA10","I/O","USART1_RX","STLINK_TX [STM32F103CBT6_PA2]"
"103","PA11","I/O","LTDC_R4","R4"
"104","PA12","I/O","LTDC_R5","R5"
"105","PA13","I/O","SYS_JTMS-SWDIO","SWDIO"
"106","VCAP_2","Power","",""
"107","VSS","Power","",""
"108","VDD","Power","",""
"109","PA14","I/O","SYS_JTCK-SWCLK","SWCLK"
"110","PA15","I/O","GPIO_EXTI15","TP_INT1 [Touch Panel]"
"111","PC10","I/O","LTDC_R2","R2"
"112","PC11","I/O","",""
"113","PC12","I/O","UART5_TX",""
"114","PD0","I/O","FMC_D2","D2"
"115","PD1","I/O","FMC_D3","D3"
"116","PD2","I/O","UART5_RX",""
"117","PD3","I/O","LTDC_G7","G7"
"118","PD4","I/O","",""
"119","PD5","I/O","",""
"120","VSS","Power","",""
"121","VDD","Power","",""
"122","PD6","I/O","LTDC_B2","B2"
"123","PD7","I/O","",""
"124","PG9","I/O","",""
"125","PG10","I/O","LTDC_G3","G3"
"126","PG11","I/O","LTDC_B3","B3"
"127","PG12","I/O","LTDC_B4","B4"
"128","PG13","Output","GPIO_Output","LD3 [Green Led]"
"129","PG14","Output","GPIO_Output","LD4 [Red Led]"
"130","VSS","Power","",""
"131","VDD","Power","",""
"132","PG15","I/O","FMC_SDNCAS","SDNCAS"
"133","PB3","I/O","",""
"134","PB4","I/O","",""
"135","PB5","I/O","FMC_SDCKE1","SDCKE1"
"136","PB6","I/O","FMC_SDNE1","SDNE1 [SDRAM_CS]"
"137","PB7","I/O","",""
"138","BOOT0","Boot","",""
"139","PB8","I/O","LTDC_B6","B6"
"140","PB9","I/O","LTDC_B7","B7"
"141","PE0","I/O","FMC_NBL0","NBL0 [SDRAM_LDQM]"
"142","PE1","I/O","FMC_NBL1","NBL1 [SDRAM_UDQM]"
"143","PDR_ON","Reset","",""
"144","VDD","Power","",""
